plot.id,block.id.harvest,site.id,block.id,stu.block.id,site.name,region,landuse,block,stu.block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,rain.acc.sum,target.sp.,pasture.disc.setup,height. setup,target.sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,target.sp.cover.harvest,total.veg.cover.harvest,PREVIOUS (HX-1)biomass.target.sp.g,PREVIOUS (HX-1)biomass.other.sp.g,PREVIOUS (HX-1)biomass.total.g,biomass.target.sp.,biomass.other.sp.,biomass.total.g,productivity.target.g.m2.day,consumption.target.g.m2.day,productivity.other.g.m2.day,consumption.other.g.m2.day,productivity.total.g.m2.day,consumption.total.g.m2.day
WET_W_1_H0,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,H0,H0,954,-2.272484,34.023326,2/16/2017,,0,0.00,0.00,The.tri,3.0,2.6,15,50,,,,,,,,1.83,13.97,15.8,,,,,,
WET_W_2_H0,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,H0,H0,953,-2.278300,34.024459,2/16/2017,,0,0.00,0.00,The.tri,,,10,40,,,,,,,,2.22,10.14,12.36,,,,,,
WET_W_3_H0,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,H0,H0,951,-2.277999,34.027678,2/16/2017,,0,0.00,0.00,The.tri,3.4,3.8,25,60,,,,,,,,8.61,14.16,22.77,,,,,,
WET_W_4_H0,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,H0,H0,950,-2.278837,34.031884,2/16/2017,,0,0.00,0.00,The.tri,1.5,2.6,25,70,,,,,,,,,29.26,29.26,,,,,,
WET_P_1_H0,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,H0,H0,957,-2.350052,34.049976,2/17/2017,,0,0.00,0.00,Chr.ori,0.5,,1,5,,,,,,,,2.42,0.86,3.28,,,,,,
WET_P_2_H0,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,H0,H0,959,-2.348488,34.050110,2/17/2017,,0,0.00,0.00,Chr.ori,0.5,0.8,1,15,,,,,,,,0.69,2.52,3.21,,,,,,
WET_P_3_H0,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,H0,H0,1022,-2.367293,34.062509,2/17/2017,,0,0.00,0.00,Chr.ori,1.0,1.2,,,,,,,,,,,4.96,4.96,,,,,,
WET_P_4_H0,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,H0,H0,1020,-2.368570,34.062586,2/23/2017,,0,0.00,0.00,Chr.ori,,0.7,12,20,,,,,,,,1.65,2.76,4.41,,,,,,
DRY_W_1_H0,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,H0,H0,995,-3.299332,34.848458,2/19/2017,,0,0.00,0.00,Cyn.dac,,0.3,22,30,,,,,,,,12.24,1.98,14.22,,,,,,
DRY_W_2_H0,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,H0,H0,980,-3.303268,34.847796,2/19/2017,,0,0.00,0.00,Cyn.dac,,0.4,12,40,,,,,,,,3.99,7.26,11.25,,,,,,
DRY_W_3_H0,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,H0,H0,998,-3.295645,34.852435,2/20/2017,,0,0.00,0.00,Cyn.dac,,0.4,8,30,,,,,,,,2.42,11.05,13.47,,,,,,
DRY_W_4_H0,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,H0,H0,1000,-3.296013,34.854327,2/20/2017,,0,0.00,0.00,Cyn.dac,,0.4,10,40,,,,,,,,1.47,13.36,14.83,,,,,,
DRY_P_1_H0,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,P,1,2,H0,H0,1009,-3.303212,34.847736,2/21/2017,,0,0.00,0.00,Chl.pyc,1.4,3.1,10,50,,,,,,,,2.03,11.73,13.76,,,,,,
DRY_P_2_H0,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,P,2,3,H0,H0,1006,-3.408426,34.850244,2/21/2017,,0,0.00,0.00,Chl.pyc,0.5,1.3,27,45,,,,,,,,5.90,4.22,10.12,,,,,,
DRY_P_3_H0,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,P,3,1,H0,H0,1001,-3.406316,34.850407,2/20/2017,,0,0.00,0.00,Chl.pyc,1.0,3.0,8,30,,,,,,,,0.79,11.00,11.79,,,,,,
DRY_P_4_H0,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,P,4,,H0,H0,1003,-3.406853,34.851600,2/20/2017,,0,0.00,0.00,Chl.pyc,1.3,1.9,7,40,,,,,,,,1.16,11.66,12.82,,,,,,
SE_1_H0,SE_1_H1,SE_1_,SE_1,,Seronera,SE,W,1,,H0,H0,1023,-2.437747,34.855162,2/26/2017,,0,0.00,0.00,Dig.mac,,,,35,,,,,,,,,12.35,12.35,,,,,,
SE_2_H0,SE_2_H1,SE_2_,SE_2,,Seronera,SE,W,2,,H0,H0,1025,-2.437766,34.855394,2/26/2017,,0,0.00,0.00,Dig.mac,,,,30,,,,,,,,,8.48,8.48,,,,,,
SE_3_H0,SE_3_H1,SE_3_,SE_3,,Seronera,SE,W,3,,H0,H0,1027,-2.437991,34.855418,2/26/2017,,0,0.00,0.00,Dig.mac,,,,40,,,,,,,,,9.81,9.81,,,,,,
SE_4_H0,SE_4_H1,SE_4_,SE_4,,Seronera,SE,W,4,,H0,H0,1026,-2.438079,34.854989,2/26/2017,,0,0.00,0.00,Dig.mac,,,,35,,,,,,,,,10.10,10.1,,,,,,
WET_W_1_EX_H1,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,EX,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,145.67,145.67,The.tri,3.0,1.9,10,65,4.00,1.20,4.00,45.00,,,,1.28,16.10,17.38,-0.047743056,-0.039930556,0.18,0.36,0.14,0.316840278
WET_W_1_OP_H1,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,OP,H1,954,-2.272484,34.023326,2/16/2017,3/20/2017,32,145.67,291.3436151,The.tri,2.5,2.3,10,40,1.50,1.40,8.00,30.00,1.83,13.97,15.8,1.74,11.99,13.73,-0.0078125,,-0.17,,-0.1796875,
WET_W_2_EX_H1,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,EX,H1,953,-2.278300,34.024459,2/16/2017,3/20/2017,32,145.67,145.6718075,The.tri,2.3,2.1,20,40,2.30,2.60,5.00,20.00,,,,2.47,5.28,7.75,0.021701389,0.053819444,-0.42,-0.01,-0.400173611,0.039930556
WET_W_2_OP_H1,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,OP,H1,953,-2.278300,34.024459,2/16/2017,3/20/2017,32,145.67,291.3436151,The.tri,2.5,0.6,12,40,1.50,0.60,7.00,24.00,2.22,10.14,12.36,1.85,5.44,7.29,-0.032118056,,-0.41,,-0.440104167,
WET_W_3_EX_H1,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,EX,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,152.53,152.5287964,The.tri,3.5,2.4,25,55,2.50,4.10,20.00,50.00,,,,8.18,6.52,14.7,-0.036195286,-0.230639731,-0.64,-0.53,-0.679292929,-0.761784512
WET_W_3_OP_H1,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,OP,H1,951,-2.277999,34.027678,2/16/2017,3/21/2017,33,152.53,305.0575929,The.tri,2.5,2.6,20,45,0.70,4.50,15.00,40.00,8.61,14.16,22.77,10.92,12.83,23.75,0.194444444,,-0.11,,0.082491582,
WET_W_4_EX_H1,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,EX,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,152.53,152.5287964,The.tri,1.5,0.9,15,70,1.80,2.70,5.00,35.00,,,,2.91,10.26,13.17,,-0.222222222,-1.60,0.49,-1.354377104,0.266835017
WET_W_4_OP_H1,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,OP,H1,950,-2.278837,34.031884,2/16/2017,3/21/2017,33,152.53,305.0575929,The.tri,2.5,1.8,25,65,1.80,2.20,18.00,30.00,,29.26,29.26,5.55,4.45,10,,,,,-1.621212121,
WET_P_1_EX_H1,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,EX,H1,957,-2.350052,34.049976,2/17/2017,3/22/2017,33,161.60,161.5982631,Chr.ori,0.5,0.4,1,7,1.80,0.90,6.00,25.00,,,,1.91,13.25,15.16,-0.042929293,-0.570707071,1.04,0.86,1,0.292087542
WET_P_1_OP_H1,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,OP,H1,957,-2.350052,34.049976,2/17/2017,3/22/2017,33,161.60,323.1965263,Chr.ori,1.0,1.0,10,15,1.50,0.80,10.00,18.00,2.42,0.86,3.28,8.69,3.00,11.69,0.527777778,,0.18,,0.707912458,
WET_P_2_EX_H1,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,EX,H1,959,-2.348488,34.050110,2/17/2017,3/22/2017,33,161.60,161.5982631,Chr.ori,0.5,0.6,,15,1.60,3.00,0.00,40.00,,,,0.00,13.46,13.46,-0.058080808,-0.012626263,0.92,0.69,0.862794613,0.677609428
WET_P_2_OP_H1,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,P,2,2,OP,H1,959,-2.348488,34.050110,2/17/2017,3/22/2017,33,161.60,323.1965263,Chr.ori,1.0,0.2,,7,1.00,2.60,3.00,20.00,0.69,2.52,3.21,0.15,5.26,5.41,-0.045454545,,0.23,,0.185185185,
WET_P_3_EX_H1,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,EX,H1,1022,-2.367293,34.062509,2/17/2017,3/22/2017,33,161.60,161.5982631,Chr.ori,1.0,1.5,,,3.20,2.60,5.00,70.00,,,,5.16,31.55,36.71,,0.352693603,2.24,0.90,2.672558923,1.256734007
WET_P_3_OP_H1,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,P,3,4,OP,H1,1022,-2.367293,34.062509,2/17/2017,3/22/2017,33,161.60,323.1965263,Chr.ori,1.0,0.9,,,1.60,0.80,2.00,55.00,,4.96,4.96,0.97,20.81,21.78,,,,,1.415824916,
WET_P_4_EX_H1,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,EX,H1,1020,-2.368570,34.062586,2/23/2017,3/22/2017,27,119.69,119.6903966,Chr.ori,,0.7,9,20,1.50,0.70,0.00,60.00,,,,0.00,26.71,26.71,-0.169753086,0,2.46,0.91,2.294238683,0.91255144
WET_P_4_OP_H1,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,P,4,3,OP,H1,1020,-2.368570,34.062586,2/23/2017,3/22/2017,27,119.69,239.3807932,Chr.ori,,0.4,8,15,0.50,1.50,0.00,40.00,1.65,2.76,4.41,0.00,17.84,17.84,-0.169753086,,1.55,,1.381687243,
DRY_W_1_EX_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,EX,H1,995,-3.299332,34.848458,2/19/2017,3/24/2017,33,165.31,165.312109,Cyn.dac,,1.8,10,20,3.50,6.80,12.00,55.00,,,,14.67,41.78,56.45,0.204545455,0.606902357,3.35,1.77,3.554713805,2.375420875
DRY_W_1_EX2_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,EX2,H1,995,-3.299332,34.848458,2/19/2017,3/25/2017,34,167.02,497.6428413,Cyn.dac,,1.2,10,30,2.80,13.40,28.00,78.00,,,,24.35,56.73,81.08,0.989379085,1.379901961,4.47,2.94,5.462418301,4.317810458
DRY_W_1_OP_H1,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,W,1,3,OP,H1,995,-3.299332,34.848458,2/19/2017,3/24/2017,33,165.31,330.624218,Cyn.dac,,0.4,18,35,2.00,1.70,8.00,28.00,12.24,1.98,14.22,7.46,20.77,28.23,-0.402356902,,1.58,,1.179292929,
DRY_W_2_EX_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,EX,H1,980,-3.303268,34.847796,2/19/2017,3/24/2017,33,165.31,165.312109,Cyn.dac,,0.4,15,45,0.50,1.70,4.00,40.00,,,,3.03,34.02,37.05,-0.080808081,0.079124579,2.25,-0.36,2.171717172,-0.282828283
DRY_W_2_EX2_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,EX2,H1,980,-3.303268,34.847796,2/19/2017,3/25/2017,34,167.02,497.6428413,Cyn.dac,,0.7,15,50,3.00,24.60,10.00,80.00,,,,9.42,80.87,90.29,0.443627451,0.598856209,6.01,3.48,6.45751634,4.075163399
DRY_W_2_OP_H1,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,W,2,4,OP,H1,980,-3.303268,34.847796,2/19/2017,3/24/2017,33,165.31,330.624218,Cyn.dac,,1.1,7,60,1.50,2.80,6.00,45.00,3.99,7.26,11.25,2.09,38.32,40.41,-0.15993266,,2.61,,2.454545455,
DRY_W_3_EX_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,EX,H1,998,-3.295645,34.852435,2/20/2017,3/24/2017,32,164.63,164.6329572,Cyn.dac,,0.6,10,25,1.50,4.80,20.00,53.00,,,,8.26,30.12,38.38,0.506944444,0.086805556,1.66,1.06,2.162326389,1.146701389
DRY_W_3_EX2_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,EX2,H1,998,-3.295645,34.852435,2/20/2017,3/25/2017,33,166.34,495.605386,Cyn.dac,,0.2,10,40,2.00,12.00,25.00,70.00,,,,17.64,56.39,74.03,1.281144781,0.873737374,3.82,3.24,5.097643098,4.112794613
DRY_W_3_OP_H1,DRY_W_3_H1,DRY_W,DRY_W_3,DRY_W_1,Maswa,DRY,W,3,1,OP,H1,998,-3.295645,34.852435,2/20/2017,3/24/2017,32,164.63,329.2659145,Cyn.dac,,0.3,20,45,1.30,3.30,20.00,60.00,2.42,11.05,13.47,7.26,17.91,25.17,0.420138889,,0.60,,1.015625,
DRY_W_4_EX_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,EX,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.33,170.3338514,Cyn.dac,,0.2,8,30,1.60,3.90,10.00,50.00,,,,3.59,49.69,53.28,0.178451178,-0.404040404,3.06,2.68,3.236531987,2.278619529
DRY_W_4_EX2_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,EX2,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.33,340.6677029,Cyn.dac,,0.3,12,25,3.50,3.30,15.00,50.00,,,,49.76,46.73,96.49,4.064814815,3.482323232,2.81,2.43,6.873737374,5.915824916
DRY_W_4_OP_H1,DRY_W_4_H1,DRY_W,DRY_W_4,DRY_W_2,Maswa,DRY,W,4,2,OP,H1,1000,-3.296013,34.854327,2/20/2017,3/25/2017,33,170.33,511.0015543,Cyn.dac,,0.5,8,45,4.00,14.00,9.00,60.00,1.47,13.36,14.83,8.39,17.82,26.21,0.582491582,,0.38,,0.957912458,
DRY_P_1_EX_H1,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,P,1,2,EX,H1,1009,-3.303212,34.847736,2/21/2017,3/26/2017,33,156.81,156.8064416,Chl.pyc,1.3,1.4,5,55,7.50,18.60,3.00,95.00,,,,3.06,106.62,109.68,0.086700337,-0.419191919,7.99,5.01,8.074074074,4.592592593
DRY_P_1_OP_H1,DRY_P_1_H1,DRY_P,DRY_P_1,DRY_P_2,Makao,DRY,P,1,2,OP,H1,1009,-3.303212,34.847736,2/21/2017,3/26/2017,33,156.81,313.6128831,Chl.pyc,1.4,1.3,8,50,2.00,4.00,8.00,70.00,2.03,11.73,13.76,8.04,47.08,55.12,0.505892256,,2.98,,3.481481481,
DRY_P_2_EX_H1,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,P,2,3,EX,H1,1006,-3.408426,34.850244,2/21/2017,3/26/2017,33,156.81,156.8064416,Chl.pyc,1.0,0.2,24,45,3.00,10.00,20.00,47.00,,,,20.78,33.33,54.11,1.252525253,1.485690236,2.45,-0.49,3.702861953,0.990740741
DRY_P_2_OP_H1,DRY_P_2_H1,DRY_P,DRY_P_2,DRY_P_3,Makao,DRY,P,2,3,OP,H1,1006,-3.408426,34.850244,2/21/2017,3/26/2017,33,156.81,313.6128831,Chl.pyc,0.8,1.1,3,30,1.00,0.90,9.00,55.00,5.9,4.22,10.12,3.13,39.21,42.34,-0.233164983,,2.95,,2.712121212,
DRY_P_3_EX_H1,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,P,3,1,EX,H1,1001,-3.406316,34.850407,2/20/2017,3/26/2017,34,176.82,176.8158372,Chl.pyc,1.7,1.5,4,55,,,,,,,,,,,,,,,,
DRY_P_3_OP_H1,DRY_P_3_H1,DRY_P,DRY_P_3,DRY_P_1,Makao,DRY,P,3,1,OP,H1,1001,-3.406316,34.850407,2/20/2017,3/26/2017,34,176.82,353.6316743,Chl.pyc,1.2,1.2,2,50,2.00,2.40,7.00,60.00,0.79,11.00,11.79,1.61,51.76,53.37,0.066993464,,3.33,,3.397058824,
DRY_P_4_EX_H1,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,P,4,,EX,H1,1003,-3.406853,34.851600,2/20/2017,3/26/2017,34,176.82,176.8158372,Chl.pyc,1.5,1.9,10,45,4.00,8.20,10.00,55.00,,,,9.01,47.20,56.21,0.641339869,0.569444444,2.90,1.00,3.544934641,1.572712418
DRY_P_4_OP_H1,DRY_P_4_H1,DRY_P,DRY_P_4,,Makao,DRY,P,4,,OP,H1,1003,-3.406853,34.851600,2/20/2017,3/26/2017,34,176.82,353.6316743,Chl.pyc,1.5,3.5,5,45,2.30,5.60,4.00,50.00,1.16,11.66,12.82,2.04,34.92,36.96,0.071895425,,1.90,,1.972222222,
SE_1_EX_H1,SE_1_H1,SE,SE_1,,Seronera,SE,W,1,,EX,H1,1023,-2.437747,34.855162,2/26/2017,3/18/2017,20,84.86,84.86457834,Dig.mac,,0.9,4,45,4.00,7.30,6.00,65.00,,,,5.02,36.34,41.36,,-0.652777778,3.33,0.30,4.029166667,-0.356944444
SE_1_EX2_H1,SE_1_H1,SE,SE_1,,Seronera,SE,W,1,,EX2,H1,1023,-2.437747,34.855162,2/25/2017,3/18/2017,21,86.14,171.0043041,Dig.mac,,1.0,2,45,3.90,8.30,3.00,60.00,,,,3.18,47.03,50.21,,-0.865079365,4.59,1.70,5.007936508,0.830687831
SE_1_OP_H1,SE_1_H1,SE,SE_1,,Seronera,SE,W,1,,OP,H1,1023,-2.437747,34.855162,2/25/2017,3/18/2017,21,86.14,257.1440299,Dig.mac,,2.6,2,45,4.30,10.30,10.00,55.00,,12.35,12.35,9.72,34.21,43.93,,,,,4.177248677,
SE_2_EX_H1,SE_2_H1,SE,SE_2,,Seronera,SE,W,2,,EX,H1,1025,-2.437766,34.855394,2/26/2017,3/18/2017,20,84.86,84.86457834,Dig.mac,,1.8,3,35,3.90,7.40,5.00,70.00,,,,4.68,36.83,41.51,,-0.391666667,3.94,1.50,4.5875,1.109722222
SE_2_EX2_H1,SE_2_H1,SE,SE_2,,Seronera,SE,W,2,,EX2,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,86.14,171.0043041,Dig.mac,,2.1,12,30,3.40,5.40,18.00,45.00,,,,7.25,16.19,23.44,,-0.033068783,1.02,-1.30,1.978835979,-1.333333333
SE_2_OP_H1,SE_2_H1,SE,SE_2,,Seronera,SE,W,2,,OP,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,86.14,257.1440299,Dig.mac,,3.3,8,35,3.40,4.40,10.00,40.00,,8.48,8.48,7.50,26.02,33.52,,,,,3.312169312,
SE_3_EX_H1,SE_3_H1,SE,SE_3,,Seronera,SE,W,3,,EX,H1,1027,-2.437991,34.855418,2/26/2017,3/18/2017,20,84.86,84.86457834,Dig.mac,,2.4,5,50,5.00,8.30,7.00,70.00,,,,16.94,46.21,63.15,,1.476388889,5.06,1.84,7.408333333,3.315277778
SE_3_EX2_H1,SE_3_H1,SE,SE_3,,Seronera,SE,W,3,,EX2,H1,1027,-2.437991,34.855418,2/25/2017,3/18/2017,21,86.14,171.0043041,Dig.mac,,1.4,5,45,5.00,3.30,15.00,65.00,,,,9.12,30.96,40.08,,0.371693122,2.80,-0.27,4.003968254,0.105820106
SE_3_OP_H1,SE_3_H1,SE,SE_3,,Seronera,SE,W,3,,OP,H1,1027,-2.437991,34.855418,2/25/2017,3/18/2017,21,86.14,257.1440299,Dig.mac,,1.3,10,40,4.10,6.00,6.00,50.00,,9.81,9.81,6.31,32.97,39.28,,,,,3.898148148,
SE_4_EX_H1,SE_4_H1,SE,SE_4,,Seronera,SE,W,4,,EX,H1,1026,-2.438079,34.854989,2/26/2017,3/18/2017,20,84.86,84.86457834,Dig.mac,,3.9,6,35,5.60,8.80,8.00,65.00,,,,9.73,42.17,51.9,,0.090277778,4.45,2.05,5.805555556,2.140277778
SE_4_EX2_H1,SE_4_H1,SE,SE_4,,Seronera,SE,W,4,,EX2,H1,1026,-2.438079,34.854989,2/25/2017,3/18/2017,21,86.14,171.0043041,Dig.mac,,2.7,15,35,5.40,12.50,25.00,55.00,,,,26.28,34.41,60.69,,2.275132275,3.22,0.93,6.691798942,3.201058201
SE_4_OP_H1,SE_4_H1,SE,SE_4,,Seronera,SE,W,4,,OP,H1,1026,-2.438079,34.854989,2/25/2017,3/18/2017,21,86.14,257.1440299,Dig.mac,,4.1,6,40,4.70,7.10,10.00,45.00,,10.10,10.1,9.08,27.41,36.49,,,,,3.490740741,
WET_W_1_EX_H2,WET_W_1_H2,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,EX,H2,954,-2.272484,34.023326,3/20/2017,5/13/2017,54,217.80,509.1480747,The.tri,1.5,2.7,7,45,3.50,17.00,5.00,40.00,1.28,16.10,17.38,2.22,23.49,25.71,0.024691358,0.04063786,0.59,-0.61,0.616255144,-0.565329218
WET_W_1_OP_H2,WET_W_1_H2,WET_W,WET_W_1,WET_W_3,Handajega,WET,W,1,3,OP,H2,954,-2.272484,34.023326,3/20/2017,5/13/2017,54,217.80,726.9525343,The.tri,1.5,5.5,5,45,5.20,10.20,5.00,30.00,1.74,11.99,13.73,1.43,35.27,36.7,-0.015946502,,1.20,,1.181584362,
WET_W_2_EX_H2,WET_W_2_H2,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,EX,H2,953,-2.278300,34.024459,3/20/2017,5/13/2017,54,217.80,509.1480747,The.tri,1.5,1.4,8,35,5.00,24.60,20.00,55.00,2.47,5.28,7.75,14.86,37.83,52.69,0.669238683,0.764403292,1.67,1.28,2.335390947,2.043209877
WET_W_2_OP_H2,WET_W_2_H2,WET_W,WET_W_2,WET_W_4,Handajega,WET,W,2,4,OP,H2,953,-2.278300,34.024459,3/20/2017,5/13/2017,54,217.80,726.9525343,The.tri,0.8,3.7,15,35,3.00,9.60,15.00,50.00,1.85,5.44,7.29,,12.97,12.97,,,0.39,,0.29218107,
WET_W_3_EX_H2,WET_W_3_H2,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,EX,H2,951,-2.277999,34.027678,3/21/2017,5/13/2017,53,213.79,518.8508492,The.tri,2.8,1.4,15,35,3.50,31.60,40.00,65.00,8.18,6.52,14.7,63.96,17.08,81.04,2.779874214,3.352201258,0.22,-0.01,3.002620545,3.342767296
WET_W_3_OP_H2,WET_W_3_H2,WET_W,WET_W_3,WET_W_1,Handajega,WET,W,3,1,OP,H2,951,-2.277999,34.027678,3/21/2017,5/13/2017,53,213.79,732.6441055,The.tri,2.7,1.5,33,40,3.20,13.20,20.00,55.00,10.92,12.83,23.75,,17.26,17.26,,,0.23,,-0.340146751,
WET_W_4_EX_H2,WET_W_4_H2,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,EX,H2,950,-2.278837,34.031884,3/21/2017,5/13/2017,53,213.79,518.8508492,The.tri,1.0,3.3,25,40,3.50,20.60,15.00,50.00,2.91,10.26,13.17,9.28,24.44,33.72,0.195492662,0.113731656,1.05,0.32,1.243186583,0.431341719
WET_W_4_OP_H2,WET_W_4_H2,WET_W,WET_W_4,WET_W_2,Handajega,WET,W,4,2,OP,H2,950,-2.278837,34.031884,3/21/2017,5/13/2017,53,213.79,732.6441055,The.tri,0.7,1.4,18,35,2.00,6.00,10.00,30.00,5.55,4.45,10,7.11,18.38,25.49,0.081761006,,0.73,,0.811844864,
WET_P_1_EX_H2,WET_P_1_H2,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,P,1,1,EX,H2,957,-2.350052,34.049976,3/22/2017,5/14/2017,53,222.92,546.1206371,Chr.ori,1.0,0.3,12,15,3.00,14.20,55.00,92.00,1.91,13.25,15.16,24.25,33.89,58.14,0.815513627,0.412997904,1.62,1.09,2.434486373,1.499475891
