plot.id,block.id.harvest,site.id,block.id,site.name,region,landuse,block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,target.sp.,pasture.disc.harvest,height.harvest,spo_pyr,mic_kun,sol_inc,the_tri,chr_ori,chl_pyc,het_con,spo_fes,dic_cin,dig_sp,dig_mac,bot_ins,ind_vol,ble_sp,cyp_sp,spo_ioc,pan_col,ind_sp,pen_mez,tri_ter,tra_bet,gut_cor,bra_sp,eup_ind,cyn_dac,sid_ova,jus_mat,ind_hoc,dac_aeg,era_rac,era_ten,oxy_sin,leu_sp,bid_sp,dys_rad,sph_sp,com_ben,spo_afr,bra_sem,dys_sp,chl_gay,kyl_sp,cro_spi,bra_bri,tra_ber,arc_sp,ari_ken,dic_rad,spo_sp,gut_pet,era_sp,pan_max,spo_fim,cyn_ple,aca_rob,lon_sp,kyl_ner,eup_hir,dic_mon,kyl_alb,rue_pat,old_sp,spo_sta,ipo_sp,mon_sp,het_ste,sen_aby,cyn_sp,hel_ste,son_sp,gut_sp,dac_gig,mar_sp,cra_pla,tep_pum,hyp_dis,bot_scr,oci_sua,eup_ina,ach_asp,her_sp,dig_vel ,cya_sp,com_tru,bid_sch,mar_amo,sed_ort,target.sp.cover.harvest,sum.sp.harvest,total.veg.cover.harvest
SE_2_EX_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,EX,H1,1025,-2.437766,34.855394,2/26/2017,3/18/2017,20,84.86,Dig.mac,3.9,7.4,,,,5.00,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,52,70
SE_2_EX2_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,EX2,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,86.14,Dig.mac,3.4,5.4,,,,,,,,,,,,,,,12.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,35,45
SE_2_OP_H1,SE_2_H1,SE,SE_2,Seronera,SE,W,2,OP,H1,1025,-2.437766,34.855394,2/25/2017,3/18/2017,21,86.14,Dig.mac,3.4,4.4,,,,,,,,,,,,,,,6.00,,8.00,,,,,,,,,,,,,,,,,,6.00,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,38,40
SE_3_EX_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,EX,H1,1027,-2.437991,34.855418,2/26/2017,3/18/2017,20,84.86,Dig.mac,5,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,25.00,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,42,70
SE_3_EX2_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,EX2,H1,1027,-2.437991,34.855418,2/25/2017,3/18/2017,21,86.14,Dig.mac,5,3.3,,,,,,,,,,,,,,,5.00,,15.00,,,,,,,,,,,,,,,,,,7.00,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,47,65
SE_3_OP_H1,SE_3_H1,SE,SE_3,Seronera,SE,W,3,OP,H1,1027,-2.437991,34.855418,2/25/2017,3/18/2017,21,86.14,Dig.mac,4.1,6,,,,5.00,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,36,50
SE_4_EX_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,EX,H1,1026,-2.438079,34.854989,2/26/2017,3/18/2017,20,84.86,Dig.mac,5.6,8.8,,,,,,,,,,,,,,,5.00,,22.00,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,40,65
SE_4_EX2_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,EX2,H1,1026,-2.438079,34.854989,2/25/2017,3/18/2017,21,86.14,Dig.mac,5.4,12.5,,,,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,53,55
SE_4_OP_H1,SE_4_H1,SE,SE_4,Seronera,SE,W,4,OP,H1,1026,-2.438079,34.854989,2/25/2017,3/18/2017,21,86.14,Dig.mac,4.7,7.1,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,45
WET_W_1_EX_H2,WET_W_1_H2,WET_W,WET_W_1,Handajega,WET,W,1,EX,H2,954,-2.272484,34.023326,3/20/2017,5/13/2017,54,217.8,The.tri,3.5,17,,10.00,,,,,12.00,5.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,40
WET_W_1_OP_H2,WET_W_1_H2,WET_W,WET_W_1,Handajega,WET,W,1,OP,H2,954,-2.272484,34.023326,3/20/2017,5/13/2017,54,217.8,The.tri,5.2,10.2,,,,,,,5.00,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,30
WET_W_2_EX_H2,WET_W_2_H2,WET_W,WET_W_2,Handajega,WET,W,2,EX,H2,953,-2.2783,34.024459,3/20/2017,5/13/2017,54,217.8,The.tri,5,24.6,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,45,55
WET_W_2_OP_H2,WET_W_2_H2,WET_W,WET_W_2,Handajega,WET,W,2,OP,H2,953,-2.2783,34.024459,3/20/2017,5/13/2017,54,217.8,The.tri,3,9.6,,,,,,,30.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,52,50
WET_W_3_EX_H2,WET_W_3_H2,WET_W,WET_W_3,Handajega,WET,W,3,EX,H2,951,-2.277999,34.027678,3/21/2017,5/13/2017,53,213.79,The.tri,3.5,31.6,,,,,,,,10.00,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,60,65
WET_W_3_OP_H2,WET_W_3_H2,WET_W,WET_W_3,Handajega,WET,W,3,OP,H2,951,-2.277999,34.027678,3/21/2017,5/13/2017,53,213.79,The.tri,3.2,13.2,,10.00,,,,,,5.00,,,,,10.00,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,50,55
WET_W_4_EX_H2,WET_W_4_H2,WET_W,WET_W_4,Handajega,WET,W,4,EX,H2,950,-2.278837,34.031884,3/21/2017,5/13/2017,53,213.79,The.tri,3.5,20.6,,,,,,,,15.00,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,45,50
WET_W_4_OP_H2,WET_W_4_H2,WET_W,WET_W_4,Handajega,WET,W,4,OP,H2,950,-2.278837,34.031884,3/21/2017,5/13/2017,53,213.79,The.tri,2,6,,,,,,,,5.00,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,30
WET_P_1_EX_H2,WET_P_1_H2,WET_P,WET_P_1,Mwantimba,WET,P,1,EX,H2,957,-2.350052,34.049976,3/22/2017,5/14/2017,53,222.92,Chr.ori,3,14.2,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,85,92
WET_P_1_OP_H2,WET_P_1_H2,WET_P,WET_P_1,Mwantimba,WET,P,1,OP,H2,957,-2.350052,34.049976,3/22/2017,5/14/2017,53,222.92,Chr.ori,1,9.6,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,60,60
WET_P_2_EX_H2,WET_P_2_H2,WET_P,WET_P_2,Mwantimba,WET,P,2,EX,H2,959,-2.348488,34.05011,3/22/2017,5/14/2017,53,222.92,Chr.ori,5.5,16.8,,,,,,20.00,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,80,80
WET_P_2_OP_H2,WET_P_2_H2,WET_P,WET_P_2,Mwantimba,WET,P,2,OP,H2,959,-2.348488,34.05011,3/22/2017,5/14/2017,53,222.92,Chr.ori,2.2,5.2,,,,5.00,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,60,65
WET_P_3_EX_H2,WET_P_3_H2,WET_P,WET_P_3,Mwantimba,WET,P,3,EX,H2,1022,-2.367293,34.062509,3/22/2017,5/14/2017,53,222.92,Chr.ori,12,51.4,,,,,,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,90,95
WET_P_3_OP_H2,WET_P_3_H2,WET_P,WET_P_3,Mwantimba,WET,P,3,OP,H2,1022,-2.367293,34.062509,3/22/2017,5/14/2017,53,222.92,Chr.ori,4,28.6,,,,,,80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,91,95
WET_P_4_EX_H2,WET_P_4_H2,WET_P,WET_P_4,Mwantimba,WET,P,4,EX,H2,1020,-2.36857,34.062586,3/22/2017,5/14/2017,53,222.92,Chr.ori,5.2,28.6,5.00,,,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,60,85
WET_P_4_OP_H2,WET_P_4_H2,WET_P,WET_P_4,Mwantimba,WET,P,4,OP,H2,1020,-2.36857,34.062586,3/22/2017,5/14/2017,53,222.92,Chr.ori,2.5,17.6,,,,,,20.00,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,95
DRY_W_1_EX_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX,H2,995,-3.299332,34.848458,3/24/2017,05.11.2017,48,115.33,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_1_EX2_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX2,H2,995,-3.299332,34.848458,3/25/2017,05.11.2017,47,115.33,Cyn.dac,2.5,13,,,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,50,60
DRY_W_1_OP_H2,DRY_W_1_H2,DRY_W,DRY_W_1,Maswa,DRY,W,1,OP,H2,995,-3.299332,34.848458,3/24/2017,05.11.2017,48,115.33,Cyn.dac,1.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,30
DRY_W_2_EX_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX,H2,980,-3.303268,34.847796,3/24/2017,05.11.2017,48,115.33,Cyn.dac,1.5,6.8,,,,,,5.00,,,,,,,,,,,,,,,,8.00,,,,,,,,7.00,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,38,40
DRY_W_2_EX2_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX2,H2,980,-3.303268,34.847796,3/25/2017,05.11.2017,47,115.33,Cyn.dac,2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,50,60
DRY_W_2_OP_H2,DRY_W_2_H2,DRY_W,DRY_W_2,Maswa,DRY,W,2,OP,H2,980,-3.303268,34.847796,3/24/2017,05.11.2017,48,115.33,Cyn.dac,1.7,3.2,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,25
DRY_W_3_EX_H2,DRY_W_3_H2,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX,H2,998,-3.295645,34.852435,3/24/2017,05.11.2017,48,115.33,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_3_EX2_H2,DRY_W_3_H2,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX2,H2,998,-3.295645,34.852435,3/25/2017,05.11.2017,47,115.33,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_3_OP_H2,DRY_W_3_H2,DRY_W,DRY_W_3,Maswa,DRY,W,3,OP,H2,998,-3.295645,34.852435,3/24/2017,05.11.2017,48,115.33,Cyn.dac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY_W_4_EX_H2,DRY_W_4_H2,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX,H2,1000,-3.296013,34.854327,3/25/2017,05.11.2017,47,132.71,Cyn.dac,2,3.6,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,23,25
DRY_W_4_EX2_H2,DRY_W_4_H2,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX2,H2,1000,-3.296013,34.854327,3/25/2017,05.11.2017,47,132.71,Cyn.dac,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,45
DRY_W_4_OP_H2,DRY_W_4_H2,DRY_W,DRY_W_4,Maswa,DRY,W,4,OP,H2,1000,-3.296013,34.854327,3/25/2017,05.11.2017,47,132.71,Cyn.dac,1.5,1.2,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,25
DRY_P_1_EX_H2,DRY_P_1_H2,DRY_P,DRY_P_1,Makao,DRY,P,1,EX,H2,1009,-3.303212,34.847736,3/26/2017,05.09.2017,44,90.82,Chl.pyc,4,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75,85
DRY_P_1_OP_H2,DRY_P_1_H2,DRY_P,DRY_P_1,Makao,DRY,P,1,OP,H2,1009,-3.303212,34.847736,3/26/2017,05.09.2017,44,90.82,Chl.pyc,1.5,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,70,75
DRY_P_2_EX_H2,DRY_P_2_H2,DRY_P,DRY_P_2,Makao,DRY,P,2,EX,H2,1006,-3.408426,34.850244,3/26/2017,05.09.2017,44,90.82,Chl.pyc,1.5,11.2,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,40,55
DRY_P_2_OP_H2,DRY_P_2_H2,DRY_P,DRY_P_2,Makao,DRY,P,2,OP,H2,1006,-3.408426,34.850244,3/26/2017,05.09.2017,44,90.82,Chl.pyc,1.5,6.6,,,,,,,,,,,,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,35
DRY_P_3_EX_H2,DRY_P_3_H2,DRY_P,DRY_P_3,Makao,DRY,P,3,EX,H2,1001,-3.406316,34.850407,3/26/2017,05.09.2017,44,90.82,Chl.pyc,2,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,5.00,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,60,55
DRY_P_3_OP_H2,DRY_P_3_H2,DRY_P,DRY_P_3,Makao,DRY,P,3,OP,H2,1001,-3.406316,34.850407,3/26/2017,05.09.2017,44,90.82,Chl.pyc,2.5,14.1,,12.00,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,59,70
DRY_P_4_EX_H2,DRY_P_4_H2,DRY_P,DRY_P_4,Makao,DRY,P,4,EX,H2,1003,-3.406853,34.8516,3/26/2017,05.09.2017,44,90.82,Chl.pyc,1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,40
DRY_P_4_OP_H2,DRY_P_4_H2,DRY_P,DRY_P_4,Makao,DRY,P,4,OP,H2,1003,-3.406853,34.8516,3/26/2017,05.09.2017,44,90.82,Chl.pyc,2,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,70,75
SE_1_EX_H2,SE_1_H2,SE,SE_1,Seronera,SE,W,1,EX,H2,1023,-2.437747,34.855162,3/18/2017,5/17/2017,60,136.42,Dig.mac,5.8,35.6,,,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,57,60
SE_1_EX2_H2,SE_1_H2,SE,SE_1,Seronera,SE,W,1,EX2,H2,1023,-2.437747,34.855162,3/18/2017,5/17/2017,60,136.42,Dig.mac,4.5,21.5,,,,,,,,,,,,,,,,,25.00,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,53,50
SE_1_OP_H2,SE_1_H2,SE,SE_1,Seronera,SE,W,1,OP,H2,1023,-2.437747,34.855162,3/18/2017,5/17/2017,60,136.42,Dig.mac,4.7,20.4,,,,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,70,75
SE_2_EX_H2,SE_2_H2,SE,SE_2,Seronera,SE,W,2,EX,H2,1025,-2.437766,34.855394,3/18/2017,5/17/2017,60,136.42,Dig.mac,8,23.4,,,,,,,,,,,,,,,5.00,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,75,85
SE_2_EX2_H2,SE_2_H2,SE,SE_2,Seronera,SE,W,2,EX2,H2,1025,-2.437766,34.855394,3/18/2017,5/17/2017,60,136.42,Dig.mac,5.6,32,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,10.00,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,50,55
SE_2_OP_H2,SE_2_H2,SE,SE_2,Seronera,SE,W,2,OP,H2,1025,-2.437766,34.855394,3/18/2017,5/17/2017,60,136.42,Dig.mac,2.2,11.8,,,,,,,,,,,,,,,5.00,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,21,25
SE_3_EX_H2,SE_3_H2,SE,SE_3,Seronera,SE,W,3,EX,H2,1027,-2.437991,34.855418,3/18/2017,5/17/2017,60,136.42,Dig.mac,5.7,28.4,,,,5.00,,,,,,,,,,,5.00,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,60,65
SE_3_EX2_H2,SE_3_H2,SE,SE_3,Seronera,SE,W,3,EX2,H2,1027,-2.437991,34.855418,3/18/2017,5/17/2017,60,136.42,Dig.mac,3.6,24.6,,,,,,,,,,,,,,,10.00,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,65,70
SE_3_OP_H2,SE_3_H2,SE,SE_3,Seronera,SE,W,3,OP,H2,1027,-2.437991,34.855418,3/18/2017,5/17/2017,60,136.42,Dig.mac,4.5,22.4,,,,,,,,,,,,,,,7.00,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,47,55
SE_4_EX_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,EX,H2,1026,-2.438079,34.854989,3/18/2017,5/17/2017,60,136.42,Dig.mac,5.5,24.4,,,5.00,18.00,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,48,60
SE_4_EX2_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,EX2,H2,1026,-2.438079,34.854989,3/18/2017,5/17/2017,60,136.42,Dig.mac,10.5,28,,,,15.00,,,,,,,,10.00,,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75,85
SE_4_OP_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,OP,H2,1026,-2.438079,34.854989,3/18/2017,5/17/2017,60,136.42,Dig.mac,5,20.4,,,,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,55,60
WET_W_1_EX_H3,WET_W_1_H3,WET_W,WET_W_1,Handajega,WET,W,1,EX,H3,954,-2.272484,34.023326,5/13/2017,7/24/2017,72,95.97,The.tri,1.6,7.2,,5.00,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,17
WET_W_1_OP_H3,WET_W_1_H3,WET_W,WET_W_1,Handajega,WET,W,1,OP,H3,954,-2.272484,34.023326,5/13/2017,7/24/2017,72,95.97,The.tri,2,6.8,,5.00,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23,25
WET_W_2_EX_H3,WET_W_2_H3,WET_W,WET_W_2,Handajega,WET,W,2,EX,H3,953,-2.2783,34.024459,5/13/2017,7/24/2017,72,95.97,The.tri,2,4.2,,,,,,,8.00,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,23,27
