site,protect,area,landuse,block,date,month,year,wild_broswer,wild_grazer,live_broswer,live_grazer,distance_pa_boundary.km,rain.region,total_dung,livgrazer_prop
16,PA,Maswa,wild,16,19/08/2017,8,2017,3,0,0,0,8.54,dry,3,0
21,UP,Mwantimba,pasture,21,23/08/2017,8,2017,0,0,3,4,-5.1,wet,7,0.571428571
22,UP,Mwantimba,pasture,22,23/08/2017,8,2017,0,0,1,3,-4.92,wet,4,0.75
23,UP,Mwantimba,pasture,23,23/08/2017,8,2017,0,0,2,6,-5.95,wet,8,0.75
24,UP,Mwantimba,pasture,24,23/08/2017,8,2017,0,0,3,13,-5.93,wet,16,0.8125
29,PA,SNP,wild,29,14/08/2017,8,2017,1,5,0,0,0.58,wet,6,0
30,PA,SNP,wild,30,14/08/2017,8,2017,0,0,0,6,0.81,wet,6,1
31,PA,SNP,wild,31,14/08/2017,8,2017,2,2,0,0,0.61,wet,4,0
32,PA,SNP,wild,32,14/08/2017,8,2017,0,1,0,0,0.24,wet,1,0
1,UP,Makao,pasture,1,27/09/2017,9,2017,12,0,10,54,-3.36,dry,76,0.710526316
2,UP,Makao,pasture,2,27/09/2017,9,2017,4,0,20,33,-3.78,dry,57,0.578947368
3,UP,Makao,pasture,3,27/09/2017,9,2017,8,6,15,44,-3.51,dry,73,0.602739726
4,UP,Makao,pasture,4,27/09/2017,9,2017,0,0,0,25,-4.09,dry,25,1
5,PA,MakaoWMA,wild,5,29/09/2017,9,2017,0,37,0,0,0.52,dry,37,0
6,PA,MakaoWMA,wild,6,29/09/2017,9,2017,0,18,0,0,0.49,dry,18,0
7,PA,MakaoWMA,wild,7,29/09/2017,9,2017,0,15,0,0,0.67,dry,15,0
8,PA,MakaoWMA,wild,8,29/09/2017,9,2017,0,11,0,0,0.38,dry,11,0
10,PA,Maswa,illegal,10,13/09/2017,9,2017,4,3,0,0,1.03,dry,7,0
11,PA,Maswa,illegal,11,13/09/2017,9,2017,3,2,0,0,1.14,dry,5,0
10,PA,Maswa,illegal,10,28/09/2017,9,2017,2,8,0,0,1.03,dry,10,0
11,PA,Maswa,illegal,11,28/09/2017,9,2017,7,25,0,0,1.14,dry,32,0
13,PA,Maswa,wild,13,28/09/2017,9,2017,16,7,0,0,9.16,dry,23,0
14,PA,Maswa,wild,14,28/09/2017,9,2017,16,6,0,0,9.09,dry,22,0
15,PA,Maswa,wild,15,28/09/2017,9,2017,1,4,0,0,8.82,dry,5,0
16,PA,Maswa,wild,16,28/09/2017,9,2017,5,4,0,0,8.54,dry,9,0
21,UP,Mwantimba,pasture,21,30/09/2017,9,2017,0,0,6,4,-5.1,wet,10,0.4
22,UP,Mwantimba,pasture,22,30/09/2017,9,2017,0,0,3,2,-4.92,wet,5,0.4
23,UP,Mwantimba,pasture,23,30/09/2017,9,2017,0,0,4,3,-5.95,wet,7,0.428571429
24,UP,Mwantimba,pasture,24,30/09/2017,9,2017,0,0,4,3,-5.93,wet,7,0.428571429
29,PA,SNP,wild,29,27/09/2017,9,2017,0,1,0,1,0.58,wet,2,0.5
30,PA,SNP,wild,30,27/09/2017,9,2017,0,1,0,0,0.81,wet,1,0
31,PA,SNP,wild,31,27/09/2017,9,2017,0,1,0,0,0.61,wet,1,0
32,PA,SNP,wild,32,27/09/2017,9,2017,0,2,0,0,0.24,wet,2,0
1,UP,Makao,pasture,1,25/10/2017,10,2017,5,0,4,30,-3.36,dry,39,0.769230769
2,UP,Makao,pasture,2,25/10/2017,10,2017,7,0,8,28,-3.78,dry,43,0.651162791
3,UP,Makao,pasture,3,25/10/2017,10,2017,2,0,15,37,-3.51,dry,54,0.685185185
4,UP,Makao,pasture,4,25/10/2017,10,2017,0,0,0,15,-4.09,dry,15,1
5,PA,MakaoWMA,wild,5,25/10/2017,10,2017,15,10,0,0,0.52,dry,25,0
6,PA,MakaoWMA,wild,6,25/10/2017,10,2017,8,12,0,0,0.49,dry,20,0
7,PA,MakaoWMA,wild,7,25/10/2017,10,2017,5,0,0,0,0.67,dry,5,0
8,PA,MakaoWMA,wild,8,25/10/2017,10,2017,18,12,0,0,0.38,dry,30,0
10,PA,Maswa,illegal,10,27/10/2017,10,2017,3,5,0,7,1.03,dry,15,0.466666667
11,PA,Maswa,illegal,11,27/10/2017,10,2017,2,4,0,5,1.14,dry,11,0.454545455
13,PA,Maswa,wild,13,28/10/2017,10,2017,4,1,0,0,9.16,dry,5,0
14,PA,Maswa,wild,14,28/10/2017,10,2017,2,5,0,0,9.09,dry,7,0
15,PA,Maswa,wild,15,28/10/2017,10,2017,1,2,0,0,8.82,dry,3,0
16,PA,Maswa,wild,16,28/10/2017,10,2017,3,0,0,0,8.54,dry,3,0
21,UP,Mwantimba,pasture,21,30/10/2017,10,2017,0,0,4,2,-5.1,wet,6,0.333333333
22,UP,Mwantimba,pasture,22,30/10/2017,10,2017,0,0,3,6,-4.92,wet,9,0.666666667
23,UP,Mwantimba,pasture,23,30/10/2017,10,2017,0,0,1,3,-5.95,wet,4,0.75
24,UP,Mwantimba,pasture,24,30/10/2017,10,2017,0,0,2,5,-5.93,wet,7,0.714285714
29,PA,SNP,wild,29,30/10/2017,10,2017,2,2,0,0,0.58,wet,4,0
30,PA,SNP,wild,30,30/10/2017,10,2017,1,2,0,0,0.81,wet,3,0
31,PA,SNP,wild,31,30/10/2017,10,2017,0,0,0,0,0.61,wet,0,
32,PA,SNP,wild,32,30/10/2017,10,2017,2,3,0,0,0.24,wet,5,0
1,UP,Makao,pasture,1,20/11/2017,11,2017,5,0,2,20,-3.36,dry,27,0.740740741
2,UP,Makao,pasture,2,20/11/2017,11,2017,7,0,7,25,-3.78,dry,39,0.641025641
3,UP,Makao,pasture,3,20/11/2017,11,2017,2,0,10,34,-3.51,dry,46,0.739130435
5,PA,MakaoWMA,wild,5,20/11/2017,11,2017,15,12,0,0,0.52,dry,27,0
6,PA,MakaoWMA,wild,6,20/11/2017,11,2017,8,12,0,0,0.49,dry,20,0
7,PA,MakaoWMA,wild,7,20/11/2017,11,2017,0,0,0,0,0.67,dry,0,
8,PA,MakaoWMA,wild,8,20/11/2017,11,2017,10,3,0,0,0.38,dry,13,0
10,PA,Maswa,illegal,10,25/11/2017,11,2017,8,2,0,4,1.03,dry,14,0.285714286
11,PA,Maswa,illegal,11,25/11/2017,11,2017,1,6,0,8,1.14,dry,15,0.533333333
13,PA,Maswa,wild,13,25/11/2017,11,2017,3,2,0,0,9.16,dry,5,0
14,PA,Maswa,wild,14,25/11/2017,11,2017,4,3,0,0,9.09,dry,7,0
15,PA,Maswa,wild,15,25/11/2017,11,2017,2,2,0,0,8.82,dry,4,0
16,PA,Maswa,wild,16,25/11/2017,11,2017,3,0,0,0,8.54,dry,3,0
21,UP,Mwantimba,pasture,21,23/11/2017,11,2017,0,0,2,4,-5.1,wet,6,0.666666667
22,UP,Mwantimba,pasture,22,23/11/2017,11,2017,0,0,2,6,-4.92,wet,8,0.75
23,UP,Mwantimba,pasture,23,23/11/2017,11,2017,0,0,4,3,-5.95,wet,7,0.428571429
24,UP,Mwantimba,pasture,24,23/11/2017,11,2017,0,0,3,2,-5.93,wet,5,0.4
29,PA,SNP,wild,29,25/11/2017,11,2017,2,3,0,0,0.58,wet,5,0
30,PA,SNP,wild,30,25/11/2017,11,2017,1,3,0,0,0.81,wet,4,0
31,PA,SNP,wild,31,25/11/2017,11,2017,1,0,0,0,0.61,wet,1,0
32,PA,SNP,wild,32,25/11/2017,11,2017,3,2,0,0,0.24,wet,5,0
1,UP,Makao,pasture,1,10/12/2017,12,2017,0,4,0,10,-3.36,dry,14,0.714285714
2,UP,Makao,pasture,2,10/12/2017,12,2017,0,0,0,13,-3.78,dry,13,1
3,UP,Makao,pasture,3,10/12/2017,12,2017,0,7,20,10,-3.51,dry,37,0.27027027
5,PA,MakaoWMA,wild,5,12/12/2017,12,2017,0,17,0,0,0.52,dry,17,0
6,PA,MakaoWMA,wild,6,12/12/2017,12,2017,0,0,0,0,0.49,dry,0,
7,PA,MakaoWMA,wild,7,12/12/2017,12,2017,0,13,0,0,0.67,dry,13,0
8,PA,MakaoWMA,wild,8,12/12/2017,12,2017,0,0,0,0,0.38,dry,0,
10,PA,Maswa,illegal,10,11/12/2017,12,2017,7,15,0,4,1.03,dry,26,0.153846154
11,PA,Maswa,illegal,11,11/12/2017,12,2017,10,25,0,10,1.14,dry,45,0.222222222
13,PA,Maswa,wild,13,11/12/2017,12,2017,7,17,0,0,9.16,dry,24,0
14,PA,Maswa,wild,14,11/12/2017,12,2017,3,7,0,0,9.09,dry,10,0
15,PA,Maswa,wild,15,11/12/2017,12,2017,7,26,0,0,8.82,dry,33,0
16,PA,Maswa,wild,16,11/12/2017,12,2017,4,25,0,0,8.54,dry,29,0
21,UP,Mwantimba,pasture,21,13/12/2017,12,2017,0,0,2,3,-5.1,wet,5,0.6
22,UP,Mwantimba,pasture,22,13/12/2017,12,2017,0,0,1,2,-4.92,wet,3,0.666666667
23,UP,Mwantimba,pasture,23,13/12/2017,12,2017,0,0,2,4,-5.95,wet,6,0.666666667
24,UP,Mwantimba,pasture,24,13/12/2017,12,2017,0,0,2,4,-5.93,wet,6,0.666666667
29,PA,SNP,wild,29,09/12/2017,12,2017,6,1,0,0,0.58,wet,7,0
30,PA,SNP,wild,30,09/12/2017,12,2017,0,1,0,0,0.81,wet,1,0
31,PA,SNP,wild,31,09/12/2017,12,2017,0,5,0,0,0.61,wet,5,0
32,PA,SNP,wild,32,09/12/2017,12,2017,0,0,0,3,0.24,wet,3,1
29,PA,SNP,wild,29,14/12/2017,12,2017,3,4,0,0,0.58,wet,7,0
30,PA,SNP,wild,30,14/12/2017,12,2017,2,6,0,0,0.81,wet,8,0
31,PA,SNP,wild,31,14/12/2017,12,2017,1,2,0,0,0.61,wet,3,0
32,PA,SNP,wild,32,14/12/2017,12,2017,2,3,0,4,0.24,wet,9,0.444444444
1,UP,Makao,pasture,1,28/01/2018,1,2018,0,0,7,12,-3.36,dry,19,0.631578947
2,UP,Makao,pasture,2,28/01/2018,1,2018,0,0,4,23,-3.78,dry,27,0.851851852
3,UP,Makao,pasture,3,28/01/2018,1,2018,0,0,8,17,-3.51,dry,25,0.68
5,PA,MakaoWMA,wild,5,28/01/2018,1,2018,0,0,0,0,0.52,dry,0,
6,PA,MakaoWMA,wild,6,28/01/2018,1,2018,8,17,0,0,0.49,dry,25,0
7,PA,MakaoWMA,wild,7,28/01/2018,1,2018,0,18,0,0,0.67,dry,18,0
8,PA,MakaoWMA,wild,8,28/01/2018,1,2018,18,16,0,0,0.38,dry,34,0
10,PA,Maswa,illegal,10,18/01/2018,1,2018,2,3,0,0,1.03,dry,5,0
11,PA,Maswa,illegal,11,18/01/2018,1,2018,4,4,0,0,1.14,dry,8,0
13,PA,Maswa,wild,13,15/01/2018,1,2018,5,2,0,0,9.16,dry,7,0
14,PA,Maswa,wild,14,15/01/2018,1,2018,3,2,0,0,9.09,dry,5,0
15,PA,Maswa,wild,15,15/01/2018,1,2018,1,2,0,0,8.82,dry,3,0
16,PA,Maswa,wild,16,15/01/2018,1,2018,0,3,0,0,8.54,dry,3,0
21,UP,Mwantimba,pasture,21,13/01/2018,1,2018,0,0,10,2,-5.1,wet,12,0.166666667
22,UP,Mwantimba,pasture,22,13/01/2018,1,2018,0,0,3,1,-4.92,wet,4,0.25
23,UP,Mwantimba,pasture,23,13/01/2018,1,2018,0,0,1,2,-5.95,wet,3,0.666666667
24,UP,Mwantimba,pasture,24,13/01/2018,1,2018,0,0,2,6,-5.93,wet,8,0.75
29,PA,SNP,wild,29,11/01/2018,1,2018,0,3,0,0,0.58,wet,3,0
30,PA,SNP,wild,30,11/01/2018,1,2018,0,2,0,0,0.81,wet,2,0
31,PA,SNP,wild,31,11/01/2018,1,2018,1,2,0,0,0.61,wet,3,0
32,PA,SNP,wild,32,11/01/2018,1,2018,0,0,0,4,0.24,wet,4,1
1,UP,Makao,pasture,1,25/02/2018,2,2018,0,0,3,10,-3.36,dry,13,0.769230769
2,UP,Makao,pasture,2,25/02/2018,2,2018,0,0,7,20,-3.78,dry,27,0.740740741
3,UP,Makao,pasture,3,25/02/2018,2,2018,0,0,6,14,-3.51,dry,20,0.7
5,PA,MakaoWMA,wild,5,25/02/2018,2,2018,12,15,0,0,0.52,dry,27,0
6,PA,MakaoWMA,wild,6,25/02/2018,2,2018,8,20,0,0,0.49,dry,28,0
7,PA,MakaoWMA,wild,7,25/02/2018,2,2018,0,15,0,0,0.67,dry,15,0
8,PA,MakaoWMA,wild,8,25/02/2018,2,2018,10,11,0,0,0.38,dry,21,0
10,PA,Maswa,illegal,10,21/02/2018,2,2018,0,3,0,0,1.03,dry,3,0
11,PA,Maswa,illegal,11,21/02/2018,2,2018,2,6,0,0,1.14,dry,8,0
13,PA,Maswa,wild,13,21/02/2018,2,2018,4,0,0,0,9.16,dry,4,0
14,PA,Maswa,wild,14,21/02/2018,2,2018,3,0,0,0,9.09,dry,3,0
15,PA,Maswa,wild,15,21/02/2018,2,2018,1,1,0,0,8.82,dry,2,0
16,PA,Maswa,wild,16,21/02/2018,2,2018,1,7,0,0,8.54,dry,8,0
21,UP,Mwantimba,pasture,21,19/02/2018,2,2018,0,0,4,3,-5.1,wet,7,0.428571429
22,UP,Mwantimba,pasture,22,19/02/2018,2,2018,0,0,3,2,-4.92,wet,5,0.4
23,UP,Mwantimba,pasture,23,19/02/2018,2,2018,0,0,2,4,-5.95,wet,6,0.666666667
24,UP,Mwantimba,pasture,24,19/02/2018,2,2018,0,0,3,6,-5.93,wet,9,0.666666667
29,PA,SNP,wild,29,07/02/2018,2,2018,0,0,0,0,0.58,wet,0,
30,PA,SNP,wild,30,07/02/2018,2,2018,0,0,3,0,0.81,wet,3,0
31,PA,SNP,wild,31,07/02/2018,2,2018,0,0,0,4,0.61,wet,4,1
32,PA,SNP,wild,32,07/02/2018,2,2018,0,0,0,5,0.24,wet,5,1
1,UP,Makao,pasture,1,08/03/2018,3,2018,0,0,0,20,-3.36,dry,20,1
2,UP,Makao,pasture,2,08/03/2018,3,2018,0,0,7,15,-3.78,dry,22,0.681818182
3,UP,Makao,pasture,3,08/03/2018,3,2018,0,0,18,7,-3.51,dry,25,0.28
5,PA,MakaoWMA,wild,5,07/03/2018,3,2018,0,0,0,0,0.52,dry,0,
6,PA,MakaoWMA,wild,6,07/03/2018,3,2018,24,0,0,0,0.49,dry,24,0
7,PA,MakaoWMA,wild,7,07/03/2018,3,2018,0,0,0,0,0.67,dry,0,
8,PA,MakaoWMA,wild,8,07/03/2018,3,2018,0,3,0,0,0.38,dry,3,0
10,PA,Maswa,illegal,10,07/03/2018,3,2018,10,7,0,0,1.03,dry,17,0
11,PA,Maswa,illegal,11,07/03/2018,3,2018,0,7,0,0,1.14,dry,7,0
13,PA,Maswa,wild,13,07/03/2018,3,2018,0,0,0,0,9.16,dry,0,
14,PA,Maswa,wild,14,07/03/2018,3,2018,38,0,0,0,9.09,dry,38,0
15,PA,Maswa,wild,15,07/03/2018,3,2018,5,0,0,0,8.82,dry,5,0
16,PA,Maswa,wild,16,07/03/2018,3,2018,0,0,0,0,8.54,dry,0,
21,UP,Mwantimba,pasture,21,09/03/2018,3,2018,0,0,2,3,-5.1,wet,5,0
22,UP,Mwantimba,pasture,22,09/03/2018,3,2018,0,0,1,2,-4.92,wet,3,0
23,UP,Mwantimba,pasture,23,09/03/2018,3,2018,0,0,2,6,-5.95,wet,8,0
24,UP,Mwantimba,pasture,24,09/03/2018,3,2018,0,0,1,4,-5.93,wet,5,0
29,PA,SNP,wild,29,02/03/2018,3,2018,0,0,0,0,0.58,wet,0,
30,PA,SNP,wild,30,02/03/2018,3,2018,0,0,0,0,0.81,wet,0,
31,PA,SNP,wild,31,02/03/2018,3,2018,1,0,0,0,0.61,wet,1,0
32,PA,SNP,wild,32,02/03/2018,3,2018,0,0,0,7,0.24,wet,7,1
29,PA,SNP,wild,29,10/03/2018,3,2018,3,2,0,0,0.58,wet,5,0
30,PA,SNP,wild,30,10/03/2018,3,2018,2,7,0,0,0.81,wet,9,0
31,PA,SNP,wild,31,10/03/2018,3,2018,2,3,0,0,0.61,wet,5,0
32,PA,SNP,wild,32,10/03/2018,3,2018,1,4,0,0,0.24,wet,5,0
1,UP,Makao,pasture,1,30/04/2018,4,2018,0,0,0,0,-3.36,dry,0,
2,UP,Makao,pasture,2,30/04/2018,4,2018,0,0,10,15,-3.78,dry,25,0.6
3,UP,Makao,pasture,3,30/04/2018,4,2018,0,0,7,10,-3.51,dry,17,0.588235294
5,PA,MakaoWMA,wild,5,30/04/2018,4,2018,2,0,0,0,0.52,dry ,2,0
6,PA,MakaoWMA,wild,6,30/04/2018,4,2018,5,0,0,0,0.49,dry ,5,0
7,PA,MakaoWMA,wild,7,30/04/2018,4,2018,0,0,0,0,0.67,dry ,0,
8,PA,MakaoWMA,wild,8,30/04/2018,4,2018,3,0,0,0,0.38,dry ,3,0
10,PA,Maswa,illegal,10,21/04/2018,4,2018,0,0,0,0,1.03,dry,0,
11,PA,Maswa,illegal,11,21/04/2018,4,2018,0,0,0,0,1.14,dry,0,
13,PA,Maswa,wild,13,21/04/2018,4,2018,2,0,0,0,9.16,dry,2,0
14,PA,Maswa,wild,14,21/04/2018,4,2018,1,0,0,0,9.09,dry,1,0
15,PA,Maswa,wild,15,21/04/2018,4,2018,0,0,0,0,8.82,dry,0,
16,PA,Maswa,wild,16,21/04/2018,4,2018,1,0,0,0,8.54,dry,1,0
21,UP,Mwantimba,pasture,21,10/04/2018,4,2018,0,0,2,5,-5.1,wet,7,0.714285714
22,UP,Mwantimba,pasture,22,10/04/2018,4,2018,0,0,1,2,-4.92,wet,3,0.666666667
23,UP,Mwantimba,pasture,23,10/04/2018,4,2018,0,0,1,2,-5.95,wet,3,0.666666667
24,UP,Mwantimba,pasture,24,10/04/2018,4,2018,0,0,2,4,-5.93,wet,6,0.666666667
29,PA,SNP,wild,29,01/04/2018,4,2018,0,3,0,0,0.58,wet,3,0
30,PA,SNP,wild,30,01/04/2018,4,2018,2,0,0,0,0.81,wet,2,0
31,PA,SNP,wild,31,01/04/2018,4,2018,1,0,0,0,0.61,wet,1,0
32,PA,SNP,wild,32,01/04/2018,4,2018,1,3,0,0,0.24,wet,4,0
1,UP,Makao,pasture,1,24/05/2018,5,2018,2,0,0,5,-3.36,dry,7,0.714285714
2,UP,Makao,pasture,2,24/05/2018,5,2018,0,0,4,13,-3.78,dry,17,0.764705882
3,UP,Makao,pasture,3,24/05/2018,5,2018,0,0,7,17,-3.51,dry,24,0.708333333
5,PA,MakaoWMA,wild,5,24/05/2018,5,2018,0,5,0,0,0.52,dry ,5,0
6,PA,MakaoWMA,wild,6,24/05/2018,5,2018,0,10,0,0,0.49,dry ,10,0
7,PA,MakaoWMA,wild,7,24/05/2018,5,2018,0,0,0,0,0.67,dry ,0,
8,PA,MakaoWMA,wild,8,24/05/2018,5,2018,0,4,0,0,0.38,dry ,4,0
10,PA,Maswa,illegal,10,25/05/2018,5,2018,2,5,0,0,1.03,dry,7,0
11,PA,Maswa,illegal,11,25/05/2018,5,2018,0,3,0,0,1.14,dry,3,0
13,PA,Maswa,wild,13,25/05/2018,5,2018,0,5,0,0,9.16,dry,5,0
14,PA,Maswa,wild,14,25/05/2018,5,2018,8,0,0,0,9.09,dry,8,0
15,PA,Maswa,wild,15,25/05/2018,5,2018,9,3,0,0,8.82,dry,12,0
16,PA,Maswa,wild,16,25/05/2018,5,2018,2,4,0,0,8.54,dry,6,0
21,UP,Mwantimba,pasture,21,21/05/2018,5,2018,0,0,2,1,-5.1,wet,3,0.333333333
22,UP,Mwantimba,pasture,22,21/05/2018,5,2018,0,0,1,2,-4.92,wet,3,0.666666667
23,UP,Mwantimba,pasture,23,21/05/2018,5,2018,0,0,3,1,-5.95,wet,4,0.25
24,UP,Mwantimba,pasture,24,21/05/2018,5,2018,0,0,2,4,-5.93,wet,6,0.666666667
29,PA,SNP,wild,29,22/05/2018,5,2018,0,2,0,0,0.58,wet,2,0
30,PA,SNP,wild,30,22/05/2018,5,2018,0,1,0,0,0.81,wet,1,0
31,PA,SNP,wild,31,22/05/2018,5,2018,1,2,0,0,0.61,wet,3,0
32,PA,SNP,wild,32,22/05/2018,5,2018,2,1,0,0,0.24,wet,3,0